open,close,high,low,value,volume,begin,end,end_time,time_diff
143.3,143.2,143.6,143.15,9760313.800000083,68080,2024-02-26 11:00:00,2024-02-26 11:59:59,11:59:59,0 days 00:00:01
143.95,143.6,144.0,143.45,9388246.799999999,65251,2024-02-27 11:00:00,2024-02-27 11:59:59,11:59:59,0 days 00:00:01
144.35,144.4,144.65,144.2,2259024.55,15640,2024-02-28 11:00:00,2024-02-28 11:59:59,11:59:59,0 days 00:00:01
144.1,144.25,144.3,144.05,4552599.700000002,31562,2024-02-29 11:00:00,2024-02-29 11:59:59,11:59:59,0 days 00:00:01
145.75,145.65,145.8,145.4,6524041.149999999,44824,2024-03-01 11:00:00,2024-03-01 11:59:59,11:59:59,0 days 00:00:01
146.65,147.1,147.35,146.6,10480054.6,71279,2024-03-04 11:00:00,2024-03-04 11:59:59,11:59:59,0 days 00:00:01
147.1,147.65,147.65,146.8,6792139.4,46127,2024-03-05 11:00:00,2024-03-05 11:59:59,11:59:59,0 days 00:00:01
147.15,147.45,147.5,147.1,4608164.850000001,31281,2024-03-06 11:00:00,2024-03-06 11:59:59,11:59:59,0 days 00:00:01
148.1,147.85,148.15,147.6,10031664.399999997,67877,2024-03-07 11:00:00,2024-03-07 11:59:59,11:59:59,0 days 00:00:01
149.1,148.9,149.25,148.8,5395335.849999998,36201,2024-03-11 11:00:00,2024-03-11 11:59:59,11:59:59,0 days 00:00:01
147.9,148.3,148.5,147.85,23765875.74999983,160309,2024-03-12 11:00:00,2024-03-12 11:59:59,11:59:59,0 days 00:00:01
148.95,149.05,149.25,148.75,4366437.45,29297,2024-03-13 11:00:00,2024-03-13 11:59:59,11:59:59,0 days 00:00:01
147.25,147.4,147.45,146.95,113318259.45,769878,2024-03-14 11:00:00,2024-03-14 11:59:59,11:59:59,0 days 00:00:01
146.9,147.15,147.15,146.75,6541316.3,44526,2024-03-15 11:00:00,2024-03-15 11:59:59,11:59:59,0 days 00:00:01
147.0,146.85,147.0,146.65,3030081.900000001,20639,2024-03-18 11:00:00,2024-03-18 11:59:59,11:59:59,0 days 00:00:01
146.85,147.2,147.2,146.8,5409499.400000001,36796,2024-03-19 11:00:00,2024-03-19 11:59:59,11:59:59,0 days 00:00:01
146.45,146.3,146.5,146.1,2115730.250000001,14464,2024-03-20 11:00:00,2024-03-20 11:59:59,11:59:59,0 days 00:00:01
147.4,147.0,147.5,147.0,4112693.45,27935,2024-03-21 11:00:00,2024-03-21 11:59:59,11:59:59,0 days 00:00:01
147.0,147.45,147.45,146.95,8856093.5,60132,2024-03-22 11:00:00,2024-03-22 11:59:59,11:59:59,0 days 00:00:01
145.65,145.65,145.75,145.4,2663955.5,18300,2024-03-25 11:00:00,2024-03-25 11:59:59,11:59:59,0 days 00:00:01
146.95,147.1,147.1,146.7,3335679.75,22706,2024-03-26 11:00:00,2024-03-26 11:59:59,11:59:59,0 days 00:00:01
147.3,147.1,147.35,147.05,1682439.4,11428,2024-03-27 11:00:00,2024-03-27 11:59:59,11:59:59,0 days 00:00:01
148.05,148.25,148.3,147.9,6533840.100000001,44122,2024-03-28 11:00:00,2024-03-28 11:59:59,11:59:59,0 days 00:00:01
